Region,Altria: (2020)
Virginia,100
District of Columbia,60
Kentucky,31
North Carolina,30
Missouri,27
Vermont,27
Nevada,27
Nebraska,26
Rhode Island,25
Florida,24
Massachusetts,24
New Jersey,24
New York,24
Delaware,23
Wisconsin,23
Connecticut,22
Arizona,22
South Carolina,22
Illinois,22
Tennessee,21
Indiana,21
Iowa,20
Pennsylvania,20
Maryland,19
Hawaii,19
Alabama,19
New Hampshire,19
Colorado,18
Arkansas,18
Wyoming,17
Georgia,17
Michigan,17
Louisiana,17
California,17
Ohio,16
Idaho,16
Kansas,16
Montana,16
Oklahoma,16
Maine,16
West Virginia,15
Mississippi,15
Texas,14
Washington,13
Oregon,12
Minnesota,12
Utah,12
South Dakota,12
New Mexico,10
North Dakota,9
Alaska,8
